Name,GID,Source data,Entry type,Year,Year info,Parentage,Source study,BPH17,BPH3,BPH9-9,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t),BADH2,chalk5,sub1,1K-RiCA_GS3,1k-RiCA_Wx,1K-RiCA_alk,AG1,Saltol,qNa1L,DTY1.1,DTY2.2,DTY3.1,DTY3.2,DTY4.1,DTY12.1,COLD1,LTG1,qSCT1,HTSF4.1
IR16A3652,4815880,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,,,,,,,,,,,,,,,,,
IR16A3667,4815895,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR15A3780,300174086,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2012,cross year,PR 37285-17-31-12-1-21-1-2/IRRI 154,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,,,,,,,,,,,,,,,,,
IR16A3025,4789501,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3113,4789743,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3098,4789823,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,R,,S,S,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3677,4815905,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,R,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3046,4789573,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3095,4789819,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3053,4789585,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3082,4789719,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,R,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3086,4789727,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,S,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3565,4815793,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,S,,S,R,,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
IR16A3123,4789765,FavEnvB - Irrigated 2017 germplasm summary,2017_AYT,2013,cross year,PR 36921-B-6-1-3-4/IRRI 154//IR09A228,,S,,,,R,,S,R,S,S,S,,non_frag,non_chalky,non_tolerant,,,,,,,,,,,,,,,,
