Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR16A3652,4815880,IRRI,,S,,S,S,S,S,S,
IR16A3667,4815895,IRRI,,S,,S,R,S,S,S,
IR15A3780,300174086,IRRI,,R,,S,S,R,S,S,
IR16A3025,4789501,IRRI,,S,,S,S,S,S,S,
IR16A3113,4789743,IRRI,,S,,S,R,S,S,S,
IR16A3098,4789823,IRRI,,R,,S,S,R,S,S,
IR16A3677,4815905,IRRI,,R,,S,S,S,S,S,
IR16A3046,4789573,IRRI,,,,S,R,S,S,S,
IR16A3095,4789819,IRRI,,S,,S,R,R,S,S,
IR16A3053,4789585,IRRI,,S,,S,R,S,S,S,
IR16A3082,4789719,IRRI,,S,,S,R,R,S,S,
IR16A3086,4789727,IRRI,,S,,S,S,S,S,S,
IR16A3565,4815793,IRRI,,S,,S,R,,S,S,
IR16A3123,4789765,IRRI,,R,,S,R,S,S,S,
IR16A3562,4815790,IRRI,,S,,S,R,S,S,S,
IR16A3676,4815904,IRRI,,S,,S,S,S,S,S,
IR16A3040,4789549,IRRI,,R,,S,S,,S,S,
IR16A3091,4789813,IRRI,,S,,S,S,S,S,S,
IR16A3429,4815657,IRRI,,S,,S,R,S,S,S,
IR16A3686,4815914,IRRI,,S,,S,S,S,S,S,
IR16A3015,4789485,IRRI,,S,,S,R,S,S,S,
IR16A3103,4789837,IRRI,,,,S,S,R,S,S,
IR16A3412,4815640,IRRI,,S,,S,S,S,S,S,
IR16A3045,4789571,IRRI,,S,,S,S,S,S,S,
IR16A3593,4815821,IRRI,,S,,S,S,R,S,S,
IR16A3105,4789841,IRRI,,,,S,R,S,S,S,
IR16A3033,4789531,IRRI,,S,,S,S,S,S,S,
IR16A3431,4815659,IRRI,,S,,S,R,S,S,S,
IR16A3683,4815911,IRRI,,S,,S,S,S,S,S,
IR16A3124,4789766,IRRI,,S,,S,S,R,S,S,
IR16A3583,4815811,IRRI,,S,,S,,S,S,S,
IR16A3644,4815872,IRRI,,S,,S,,R,S,S,
IR16A3106,4789844,IRRI,,,,S,,S,S,S,
IR16A3448,4815676,IRRI,,R,,S,S,R,S,S,
IR16A3395,4815623,IRRI,,S,,S,,S,S,S,
IR16A3084,4789724,IRRI,,S,,S,S,R,S,S,
IR16A3058,4789659,IRRI,,S,,S,S,R,S,S,
IR16A3018,4789488,IRRI,,S,,S,S,R,S,S,
IR 100121-B-B-B-B-73,300038266,IRRI,,S,,S,S,R,S,S,
IR16A3008,4789473,IRRI,,S,,S,S,R,S,S,
IR16A3065,4789673,IRRI,,,,S,S,S,S,S,
IR16A3460,4815688,IRRI,,S,,S,S,R,S,S,
