xa5,Xa7,Xa10,xa13,Xa14,Xa21
IRRI123/PSBRc82,IR 99129-B RGA-B RGA-223,,,,NSIC Rc286
IRRI139/MS13,IR 99129-B RGA-B RGA-206,,,,IR16A3667
NSIC Rc184,IR 99129-B RGA-B RGA-215,,,,IR16A3113
NSIC Rc190,IR 99129-B RGA-B RGA-150,,,,IR16A3046
IRRI154/NSICRc222,IR 99129-B RGA-B RGA-214,,,,IR16A3095
NSIC Rc238,IR 99129-B RGA-B RGA-213,,,,IR16A3053
NSIC Rc274,,,,,IR16A3082
IR15A3780,,,,,IR16A3565
IR16A3098,,,,,IR16A3123
IR16A3677,,,,,IR16A3562
IR16A3123,,,,,IR16A3429
IR16A3040,,,,,IR16A3015
IR16A3448,,,,,IR16A3105
IR16A3375,,,,,IR16A3431
